Region,Males,Females,Total
"Riverdale, Fieldston, Kingsbridge",51598,61481,113079
"Wakefield, Williamsbridge, Woodlawn",65216,78387,143604
"Co-op City, Pelham Bay, Schuylerville",55037,65204,120241
"Pelham Parkway, Morris Park, Laconia",60974,67982,128956
"Belmont, Crotona Park East, East Tremont",77119,89293,166411
"Bedford Park, Fordham North, Norwood",63169,68921,132090
"Morris Heights, Fordham South, Mount Hope",65682,72967,138648
"Concourse, Highbridge, Mount Eden",68152,75978,144129
"Castle Hill, Clason Point, Parkchester",88007,100193,188201
"Hunts Point, Longwood, Melrose",81666,79759,161425
"Greenpoint, Williamsburg",76748,77779,154527
Bushwick,66695,67378,134073
Bedford Stuyvesant,64655,74558,139213
"Brooklyn Heights, Fort Greene",58271,66161,124432
"Park Slope, Carroll Gardens, Red Hook",53112,58760,111871
"Crown Heights North, Prospect Heights",57936,70196,128131
"Brownsville, Ocean Hill",54311,68986,123297
"East New York, Starrett City",73196,86466,159662
"Canarsie, Flatlands",90847,110065,200912
"East Flatbush, Farragut, Rugby",62365,78661,141026
"Crown Heights, Prospect Lefferts, Wingate",50493,61025,111518
"Sunset Park, Windsor Terrace",78533,75131,153664
"Bay Ridge, Dyker Heights",62055,65267,127323
"Borough Park, Kensington, Ocean Parkway",85578,84056,169634
"Flatbush, Midwood",77849,86969,164818
"Sheepshead Bay, Gerritsen Beach, Homecrest",73985,79944,153929
"Bensonhurst, Bath Beach",92931,96344,189275
"Brighton Beach, Coney Island",55293,64256,119550
"Washington Heights, Inwood, Marble Hill",97142,106275,203417
"Hamilton Heights, Manhattanville, West Harlem",61481,68085,129566
Central Harlem,56270,65431,121701
East Harlem,56312,64124,120435
Upper East Side,102121,127056,229177
"Upper West Side, West Side",93032,108808,201840
"Chelsea, Clinton, Midtown Business District",77568,71985,149553
"Murray Hill, Gramercy, tuyvesant Town",71357,84491,155848
"Chinatown, Lower East Side",81995,87276,169271
"Battery Park City, Greenwich Village, Soho",75851,78330,154181
"Astoria, Long Island City",88021,92150,180171
"Jackson Heights, North Corona",98331,90820,189150
"Flushing, Murray Hill, Whitestone",123550,134764,258315
"Bayside, Douglaston, Little Neck",58155,63468,121623
"Queens Village, Cambria Heights, Rosedale",90730,104801,195531
"Briarwood, Fresh Meadows, Hillcrest",76454,83163,159617
"Elmhurst, South Corona",76755,74131,150886
"Forest Hills, Rego Park",54531,62495,117027
"Sunnyside, Woodside",70244,68429,138673
"Ridgewood, Glendale, Middle Village",86201,90134,176336
"Richmond Hill, Woodhaven",73306,74235,147541
"Jamaica, Hollis, St. Albans",105917,122616,228533
"Howard Beach, Ozone Park",61637,65928,127565
"Far Rockaway, Breezy Point, Broad Channel",56053,62989,119043
"Tottenville, Great Kills, Annadale",78800,82782,161583
"New Springville, South Beach",64693,70437,135130
"Port Richmond, Stapleton, Mariner's Harbor",85549,91062,176611
